,,,,,,,,,,,,,,,,,
CATÁLOGO NUMÉRICO DEL ANEXO 2 DE LA  RESOLUCIÓN QUE ESTABLECE EL MECANISMO PARA GARANTIZAR EL PAGO DE CONTRIBUCIONES EN MERCANCÍAS SUJETAS A  PRECIOS ESTIMADOS POR LA  SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO  CATÁLOGO.,,,,,,,,,,,,,,,,,
,,,,,, PRECIO  ESTIMADO  EN DÓLARES DE E.U.A POR UNIDAD  COMERCIAL  Y  POR ANTIGÜEDAD  DEL AÑO MODELO,,,,,,,,,,,
CATALOGO NUMÉRICO,FRACCION ARANCELARIA,NICO,MARCA,DESCRIPCION DE NICO,UNIDAD COMERCIAL,2009,2010,10 AÑOS O  MÁS,9 AÑOS,8 AÑOS,7 AÑOS, 6 AÑOS,5 AÑOS,4 AÑOS,3 AÑOS,2 AÑOS,HASTA 1 AÑO
30,8701.20.02,,INTERNATIONAL,"9900/PROSTAR/LONESTAR 113""-132"" BBC ALUMINIUM CAB",Pza,,,,,,,,,,"59,500","61,500",
31,8701.20.02,,INTERNATIONAL,"TRANSTAR 85/8600 SERIES 107""-113"" BBC STEEL CAB",Pza,,,,,,,,,"46,300",,,
,8701.20.02,,KENWORTH,KENWORTH,,,,,,,,,,,,,
32,8701.20.02,,KENWORTH,C500 123” BBC ALUMINUM CAB,Pza,,,,"44,975","48,900","53,325","59,050","64,250",,,,
33,8701.20.02,,KENWORTH,T600/800/2000/W900  120”-130”BBC ALUMINUM,Pza,,,"11,800","13,180","14,410","19,345","23,531","29,206",,"40,509","47,561",
34,8701.20.02,,KENWORTH,"T660/680/700/800/2000/W900 121""-139"" BBC  ALUM CAB",Pza,,,,,,,,,,,,"91,500"
35,8701.20.02,,KENWORTH,"T660/800/2000/W900 123""-139"" BBC ALUM CAB",Pza,,,,,,,,,"72,561",,,
36,8701.20.02,,KENWORTH,T800/CITYCAB    112”  BBC ALUMINUM CAB,Pza,,,,"7,763","8,438","14,625","18,475",,,,,
37,8701.20.02,,KENWORTH,WORK  CAB   123”   BBC ALUMINUM CAB,Pza,,,,"27,250","27,775","28,625",,,,,,
,8701.20.02,,MACK,MACK,,,,,,,,,,,,,
38,8701.20.02,,MACK,"CH/CL//CX   SERIES    112”-
123” BBC STEEL",Pza,,,"11,517","12,583",,,,"25,683",,,,
39,8701.20.02,,MACK,"CH/CX   SERIES   112”-123”
BBC STEELCAB",Pza,,,,,"13,225","18,000","20,800",,,,,
40,8701.20.02,,MACK,CL700  SERIES   123” BBC STEEL CAB,Pza,,,,"28,388","32,213","34,025","39,275","44,075",,,,
